Ch??ng trình ?ào t?o mà b?n ?ang theo h?c t?i NEU,"Khoa, vi?n b?n ?ang theo h?c",L?p chuyên ngành,Nh?n th?c v? môi tr??ng [Nguyên nhân gây ra tình tr?ng ô nhi?m môi tr??ng là do con ng??i],Nh?n th?c v? môi tr??ng [Các v?n ?? môi tr??ng hi?n nay ?ang ?nh h??ng t?i s? s?ng c?a m?i ng??i chúng ta],Nh?n th?c v? môi tr??ng [Trách nhi?m cá nhân r?t quan tr?ng trong vi?c b?o v? môi tr??ng],"Nh?n th?c v? môi tr??ng [Gi?i pháp t?i ?u cho các v?n ?? môi tr??ng ph? thu?c vào s? thay ??i trong l?i s?ng, cách tiêu dùng c?a chúng ta]","Ki?n th?c, thái ?? v? tiêu dùng xanh [B?n có ki?n th?c v? các s?n ph?m xanh thân thi?n v?i môi tr??ng]","Ki?n th?c, thái ?? v? tiêu dùng xanh [Tôi c?m th?y s?n ph?m xanh t?t cho môi tr??ng và con ng??i]","Ki?n th?c, thái ?? v? tiêu dùng xanh [Tôi s? thay ??i s?n ph?m khi nó vi ph?m ?i?u ki?n sinh thái]","Ki?n th?c, thái ?? v? tiêu dùng xanh [Tôi có ki?n th?c, thái ?? tích c?c v? s?n ph?m xanh nh?ng tôi không th?c hi?n nó ( không ?? ?i?u ki?n v? tài chính, ph??ng ti?n,....)]","Ni?m tin xanh
 [Tôi th?y nh?ng cam k?t, ch?ng nh?n an toàn, ch?ng nh?n s?n ph?m xanh  nhìn chung ?áng tin c?y]","Ni?m tin xanh
 [Tôi tin vào nh?ng thông tin trên bao bì c?a s?n ph?m xanh, ???c s?n xu?t ??m b?o tiêu chu?n v? sinh môi tr??ng, làm cho ch?t l??ng cu?c s?ng c?ng ??ng t?t h?n]","Ni?m tin xanh
 [Tôi tin vào lòng trung th?c và trách nhi?m c?a nhà s?n xu?t]","H??ng ti?p c?n t?i ng??i tiêu dùng c?a doanh nghi?p
 [Tôi s?n sàng mua các s?n ph?m có thành ph?n, quy trình s?n xu?t không ??c h?i v?i môi tr??ng]","H??ng ti?p c?n t?i ng??i tiêu dùng c?a doanh nghi?p
 [Tôi s?n sàng chi nhi?u ti?n h?n ?? mua các s?n ph?m không ??c h?i v?i môi tr??ng]","H??ng ti?p c?n t?i ng??i tiêu dùng c?a doanh nghi?p
 [Tôi mua nhi?u h?n s?n ph?m xanh t? các gian hàng xanh, c?a hàng xanh (các ??a ?i?m uy tín)]","H??ng ti?p c?n t?i ng??i tiêu dùng c?a doanh nghi?p
 [Tôi s?n sàng mua s?n ph?m xanh t? các th??ng hi?u ?i ??u trong b?o v? môi tr??ng]",C?m nh?n v? tính hi?u qu? [Nh?ng ch?c n?ng c?a s?n ph?m xanh cung c?p nhi?u giá tr? cho tôi],"C?m nh?n v? tính hi?u qu? [Trong t??ng lai, tôi s? ti?p t?c s? d?ng s?n ph?m xanh nh?m b?o v? môi tr??ng]","C?m nh?n v? tính hi?u qu? [Tôi s? gi?i thi?u v?i ng??i thân, b?n bè v? tính hi?u qu? khi dùng s?n ph?m xanh]",Quan tâm ??n hình ?nh cái tôi [Tham gia b?o v? môi tr??ng giúp tôi ???c ?ánh giá cao],Quan tâm ??n hình ?nh cái tôi [Tôi s? b? cho là l?c h?u n?u không tham gia tiêu dùng xanh]
Chính quy,Th?ng kê,63A th?ng kê kinh t?,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý
Chính quy,TM Và KTQT,Kinh doanh qu?c t? 63A,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,??ng ý,??ng ý,Trung l?p,??ng ý,Trung l?p,Trung l?p,??ng ý,Trung l?p,Trung l?p,Trung l?p,"??ng ý, Trung l?p","??ng ý, Trung l?p",??ng ý,??ng ý,Trung l?p
Chính quy,Th?ng kê,63A Th?ng kê kinh t?,??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,Trung l?p,??ng ý,Trung l?p,Không ??ng ý,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p
Chính quy,K? ho?ch và phát tri?n ,Kinh t? phát tri?n 63B,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,??ng ý,Không ??ng ý,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý
"Tiên ti?n, ch?t l??ng cao, POHE",POHE,Qu?n tr? kinh doanh th??ng m?i,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý
Chính quy,??u t?,Qu?n lý d? án,Trung l?p,??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,Th?ng Kê,63A Th?ng kê,??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,Trung l?p
"Tiên ti?n, ch?t l??ng cao, POHE",Ch?t l??ng cao,Qu?n tr? Marketing CLC 63F,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,??ng ý,Trung l?p,Trung l?p,??ng ý,??ng ý,Trung l?p,Trung l?p,??ng ý,??ng ý,Trung l?p,??ng ý
Chính quy,Th?ng kê,Th?ng kê Kinh t? 63A,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,"??ng ý, Trung l?p",R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t không ??ng ý
Chính quy,B?t ??ng s?n và KTTN,B?t ??ng s?n 63B,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,Trung l?p,??ng ý,Trung l?p
Chính quy,Th?ng kê ,63A.TKKT,??ng ý,Trung l?p,??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,??ng ý
Liên k?t qu?c t?,K? toán tài chính,BIFA 8G,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p
Chính quy,Kt&qlnnl,Kt&qlnnl,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,Không ??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Không ??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,??ng ý,Trung l?p,Không ??ng ý
Chính quy,K? toán ki?m toán,Ki?m toán 63B,??ng ý,R?t ??ng ý,Trung l?p,R?t ??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,Không ??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý
Liên k?t qu?c t?,Vi?n Th??ng m?i và kinh t? qu?c t? ,LSIC ,Trung l?p,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,Khoa ngành maketing,MKT 63A,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p
Chính quy,Kinh t? và Qu?n lí ngu?n nhân l?c,Kinh t? và Qu?n lí ngu?n nhân l?c 63,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,R?t ??ng ý,??ng ý,Không ??ng ý,R?t không ??ng ý,R?t ??ng ý,Trung l?p,Trung l?p,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,R?t ??ng ý,Không ??ng ý
Chính quy,Vi?n K? toán - Ki?m toán,Ki?m toán 63B,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,Qu?n tr? kinh doanh,Qu?n tr? kinh doanh 63A,??ng ý,??ng ý,R?t ??ng ý,??ng ý,Trung l?p,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,R?t ??ng ý,Trung l?p,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p
Chính quy,Du l?ch và khách s?n,Qu?n tr? khách s?n 62,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p
Chính quy,B?t ??ng s?n và Kinh t? tài nguyên,B?t ??ng s?n 63b,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý
Chính quy,Khoa Kinh t? và qu?n lý ngu?n nhân l?c,Qu?n tr? nhân l?c 63B,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p
Chính quy,Ngo?i Ng? Kinh T?,63A Ngôn Ng? Anh,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Không ??ng ý
Chính quy,Khoa Lu?t,Lu?t kinh t? 63A,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,R?t ??ng ý,Không ??ng ý,??ng ý,??ng ý,Không ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,,R?t ??ng ý,Không ??ng ý
Chính quy,Vi?n qu?n tr? kinh doanh ,EBBA,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,Không ??ng ý,Trung l?p,Trung l?p,Trung l?p,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p
"Tiên ti?n, ch?t l??ng cao, POHE",AEP,T?G 63,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,Không ??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,??ng ý,Không ??ng ý,Trung l?p
Chính quy,Th?ng kê ,Tkkt,??ng ý,??ng ý,R?t ??ng ý,??ng ý,??ng ý,R?t ??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,Trung l?p,??ng ý,??ng ý,Trung l?p,Trung l?p,Không ??ng ý,??ng ý,Trung l?p,R?t không ??ng ý,R?t không ??ng ý
"H?c CQ, xong r?i, làm ?i?p viên trong gr, ng?i hóng",KDTM,TMQT,??ng ý,??ng ý,??ng ý,Không ??ng ý,Trung l?p,R?t không ??ng ý,Trung l?p,Trung l?p,??ng ý,??ng ý,Không ??ng ý,R?t không ??ng ý,R?t không ??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,R?t không ??ng ý,R?t không ??ng ý
Chính quy,Th?ng kê,63A Th?ng kê kinh t?,??ng ý,??ng ý,R?t ??ng ý,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,marketing ,mar63c,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý
Chính quy,Ngân hàng tài chính,Ngân hàng 63C,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,??ng ý,Trung l?p,Trung l?p,??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,Trung l?p,Không ??ng ý
Liên k?t qu?c t?,IBD,Qu?n tr? kinh doanh,??ng ý,??ng ý,R?t ??ng ý,??ng ý,Trung l?p,??ng ý,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,Không ??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,??ng ý,??ng ý,Trung l?p
Chính quy,Kinh t? và qu?n lý ngu?n nhân l?c,Kinh t? ngu?n nhân l?c 63,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,Trung l?p,Trung l?p,??ng ý,Trung l?p,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,Trung l?p
Chính quy,Th?ng kê,Th?ng kê kinh t? 63A,Trung l?p,??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p
Chính quy,th?ng kê,63a th?ng kê kinh t? ,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,Trung l?p,??ng ý,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,Trung l?p,??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,Trung l?p
Chính quy,Vi?n th??ng m?i và kinh t? qu?c t?,Kinh t? qu?c t? 63B,Trung l?p,??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p
"Tiên ti?n, ch?t l??ng cao, POHE",Khoa marketing,Th?m ??nh giá,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
Chính quy,Th?ng kê,63A TKKT,??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,Trung l?p,Trung l?p,??ng ý,R?t ??ng ý,??ng ý,Trung l?p,Trung l?p,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,??ng ý,Trung l?p,??ng ý,??ng ý
Chính quy,Thông kê kinh t? ,63A Th?ng kê kinh t? ,??ng ý,??ng ý,??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý
"Tiên ti?n, ch?t l??ng cao, POHE",truy?n thông marketing,truy?n thông marketing,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,,??ng ý
Chính quy,Ngo?i ng? Kinh t?,Ngôn ng? Anh,R?t ??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,??ng ý,Trung l?p,R?t ??ng ý,Trung l?p,Trung l?p,Không ??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,Không ??ng ý,Không ??ng ý
Chính quy,Lu?t kinh te,Kt61a,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p,Trung l?p
Chính quy,Qu?n tr? kinh doanh,62A Qu?n tr? kinh doanh,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,Không ??ng ý,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p
"Tiên ti?n, ch?t l??ng cao, POHE",POHE Lu?t kinh doanh,64,??ng ý,??ng ý,R?t ??ng ý,??ng ý,Trung l?p,??ng ý,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p
Chính quy,K? toán,63B K? toán,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,R?t không ??ng ý,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,Trung l?p,??ng ý,??ng ý,R?t ??ng ý,R?t ??ng ý,Trung l?p,Không ??ng ý
Chính quy,vi?n kinh t? qu?n lý,qu?n tr? kinh doanh,??ng ý,Trung l?p,??ng ý,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Không ??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p
"Tiên ti?n, ch?t l??ng cao, POHE",Tài chính tiên ti?n,62A,??ng ý,R?t ??ng ý,R?t ??ng ý,??ng ý,??ng ý,??ng ý,Trung l?p,Trung l?p,??ng ý,Trung l?p,Trung l?p,Trung l?p,Trung l?p,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,??ng ý,Không ??ng ý
